N,M,pen,target_mae,realised_mae,carbon_red_mean,carbon_red_sd,gap_pp,oracle
1000,10,0.0,0,0.0,88.514,0.0,0.0,88.514
1000,10,0.0,5,4.956,88.628,0.197,-0.114,88.514
1000,10,0.0,10,9.912,88.588,0.221,-0.074,88.514
1000,10,0.0,20,19.81,88.391,0.321,0.123,88.514
1000,10,0.0,40,38.85,87.808,0.561,0.706,88.514
1000,10,0.0,80,71.556,87.377,0.444,1.137,88.514
3000,10,10.0,0,0.0,89.4,0.0,0.0,89.4
3000,10,10.0,5,4.956,89.252,0.099,0.148,89.4
3000,10,10.0,10,9.912,89.071,0.194,0.328,89.4
3000,10,10.0,20,19.81,88.846,0.297,0.554,89.4
3000,10,10.0,40,38.85,88.21,0.473,1.19,89.4
3000,10,10.0,80,71.556,87.85,0.419,1.549,89.4
3000,20,0.0,0,0.0,89.4,0.0,0.0,89.4
3000,20,0.0,5,4.956,89.252,0.099,0.148,89.4
3000,20,0.0,10,9.912,89.071,0.194,0.328,89.4
3000,20,0.0,20,19.81,88.846,0.297,0.554,89.4
3000,20,0.0,40,38.85,88.21,0.473,1.19,89.4
3000,20,0.0,80,71.556,87.85,0.419,1.549,89.4
